age,gender,device_type,ad_position,browsing_history,time_of_day,click
missing,missing,Desktop,missing,News,Afternoon,0
missing,Female,Tablet,missing,missing,Afternoon,0
19.0,missing,Tablet,Bottom,Social Media,Morning,1
28.0,Female,Mobile,Bottom,Shopping,Morning,1
28.0,missing,Desktop,Side,missing,Morning,1
19.0,missing,Tablet,Bottom,Social Media,missing,1
23.0,missing,Tablet,Bottom,missing,missing,1
43.0,missing,Mobile,Bottom,missing,Evening,1
missing,Male,Desktop,Top,Social Media,Night,0
34.0,missing,missing,missing,Social Media,Morning,1
37.0,Non-Binary,Desktop,missing,News,Evening,0
missing,missing,Tablet,Bottom,Education,missing,1
missing,missing,Tablet,Side,Entertainment,Evening,1
41.0,Non-Binary,Desktop,Bottom,missing,Evening,0
missing,Female,missing,Bottom,Social Media,Night,0
46.0,Non-Binary,Mobile,Bottom,News,Afternoon,1
25.0,Male,missing,Side,Education,missing,1
missing,Female,Mobile,Bottom,missing,Night,1
missing,Non-Binary,missing,Side,Social Media,Afternoon,1
missing,missing,missing,Side,Shopping,missing,0
missing,Non-Binary,missing,Side,Social Media,Evening,0
22.0,Female,Mobile,Side,Entertainment,Evening,0
missing,missing,missing,Side,missing,Morning,0
36.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
missing,Male,Tablet,Side,missing,Night,1
missing,Male,Tablet,missing,Education,Afternoon,1
33.0,missing,Desktop,Top,Education,missing,1
60.0,Female,Mobile,Side,Shopping,Afternoon,0
missing,missing,missing,Top,Social Media,missing,0
31.0,missing,Desktop,Bottom,Entertainment,Night,1
38.0,missing,missing,Side,missing,Morning,1
21.0,missing,Mobile,Top,missing,Morning,1
missing,missing,Desktop,Top,Shopping,Morning,1
missing,Male,missing,Side,News,Night,1
58.0,Male,Tablet,missing,missing,missing,0
missing,missing,Mobile,Bottom,Social Media,Night,0
41.0,Non-Binary,Mobile,missing,missing,Night,1
missing,missing,Mobile,missing,Social Media,Night,1
52.0,Female,Mobile,Top,Social Media,Afternoon,1
missing,missing,Mobile,missing,missing,Night,0
missing,missing,Desktop,Bottom,missing,Evening,1
25.0,missing,Tablet,missing,missing,Evening,0
missing,Non-Binary,Mobile,Bottom,Entertainment,Afternoon,1
20.0,Female,Mobile,Top,Entertainment,missing,1
missing,Male,Tablet,Bottom,News,Morning,1
missing,missing,Mobile,Top,missing,Morning,0
missing,Non-Binary,Mobile,missing,Social Media,missing,0
48.0,Non-Binary,Desktop,missing,missing,Night,1
45.0,missing,Tablet,Bottom,News,Evening,1
40.0,Non-Binary,Tablet,Side,missing,Afternoon,0
58.0,missing,Mobile,Side,missing,Morning,1
missing,Non-Binary,Tablet,Bottom,missing,missing,1
23.0,Female,Desktop,Bottom,Entertainment,missing,1
30.0,missing,Desktop,Bottom,missing,Night,0
missing,Non-Binary,missing,Side,missing,Afternoon,1
23.0,missing,Desktop,Top,missing,missing,0
57.0,missing,missing,missing,missing,Afternoon,0
60.0,missing,Mobile,Side,missing,missing,0
43.0,Non-Binary,missing,Side,missing,Evening,0
missing,missing,Mobile,Top,Entertainment,Night,0
36.0,missing,Tablet,missing,missing,Morning,1
36.0,Male,Tablet,Bottom,Shopping,missing,1
48.0,missing,missing,Top,missing,Night,0
61.0,Female,Desktop,missing,Shopping,Afternoon,1
missing,Non-Binary,Mobile,Side,missing,Night,0
45.0,Non-Binary,Mobile,Bottom,missing,Morning,0
26.0,missing,Mobile,Side,missing,missing,1
23.0,missing,Desktop,Top,Social Media,missing,0
missing,Female,Desktop,Bottom,missing,Afternoon,1
missing,Male,Mobile,Bottom,missing,missing,1
missing,Male,Desktop,Side,missing,missing,0
42.0,Female,Tablet,Side,missing,missing,0
54.0,Male,Desktop,Top,missing,Night,1
missing,missing,missing,Bottom,missing,Morning,0
missing,missing,missing,Side,missing,Evening,1
45.0,missing,Desktop,Side,Shopping,Night,1
40.0,Female,missing,Side,missing,Night,0
missing,Male,Tablet,missing,missing,missing,1
missing,Male,Tablet,missing,missing,Night,1
54.0,missing,Tablet,Top,Education,Night,1
missing,Non-Binary,missing,missing,Education,Evening,0
24.0,Male,missing,missing,Education,Evening,1
57.0,missing,missing,Side,missing,missing,1
missing,Female,Mobile,Side,missing,Night,0
missing,Female,Desktop,missing,News,Morning,0
53.0,missing,Desktop,Side,missing,Morning,1
missing,missing,Mobile,Side,missing,Afternoon,1
26.0,missing,Desktop,Top,Social Media,Morning,0
38.0,missing,Mobile,Top,Shopping,Evening,0
missing,Non-Binary,Desktop,missing,missing,Night,1
20.0,missing,missing,missing,missing,Morning,1
missing,Female,missing,Bottom,Shopping,Night,1
37.0,missing,missing,Bottom,missing,missing,1
33.0,Male,Tablet,Top,News,Night,0
41.0,missing,missing,missing,Education,Night,0
58.0,Male,Desktop,Bottom,Social Media,Evening,1
missing,Male,missing,Bottom,missing,Night,1
missing,Non-Binary,missing,Top,Education,Evening,0
21.0,Male,missing,Top,News,Night,0
missing,Non-Binary,Tablet,Side,News,Morning,0
missing,missing,Tablet,Side,missing,Afternoon,1
34.0,Male,Desktop,Top,missing,Night,1
38.0,missing,Tablet,Bottom,Entertainment,Morning,1
34.0,missing,missing,Bottom,missing,Afternoon,1
46.0,missing,Desktop,Bottom,missing,Evening,1
missing,Female,missing,Top,Entertainment,Morning,1
missing,missing,Tablet,Top,News,Night,1
missing,Male,Desktop,Side,Entertainment,Evening,1
missing,missing,Mobile,Top,Education,Evening,0
missing,missing,missing,missing,Shopping,Morning,0
missing,missing,Tablet,Bottom,News,Evening,1
missing,Non-Binary,Tablet,Top,Social Media,Evening,1
53.0,missing,Mobile,Side,Social Media,missing,0
52.0,missing,Mobile,Bottom,Education,missing,1
29.0,Male,Tablet,Bottom,Shopping,Morning,1
57.0,missing,Desktop,Side,missing,Morning,1
34.0,Male,Desktop,missing,News,Night,1
missing,missing,Mobile,Bottom,missing,Afternoon,1
45.0,missing,Tablet,Bottom,News,Evening,1
44.0,Female,Desktop,Top,Entertainment,Evening,1
missing,missing,Tablet,Side,Shopping,Night,0
missing,missing,Mobile,Top,News,Morning,1
43.0,Non-Binary,Mobile,Side,missing,Night,1
missing,missing,missing,Bottom,missing,Night,0
missing,missing,Tablet,Top,missing,Night,1
missing,Male,missing,Side,missing,Afternoon,1
37.0,Male,Desktop,Bottom,missing,Afternoon,1
52.0,Male,Desktop,Top,missing,Night,1
58.0,Female,Mobile,missing,missing,Night,0
missing,Female,Mobile,Bottom,missing,Evening,0
missing,missing,Tablet,Side,Entertainment,Evening,1
missing,missing,missing,Side,Shopping,Afternoon,0
63.0,Male,Desktop,Side,missing,Night,1
missing,Male,missing,Top,Social Media,missing,1
38.0,missing,missing,Bottom,Entertainment,Night,1
45.0,missing,Mobile,missing,missing,Evening,0
63.0,missing,Mobile,Top,Social Media,missing,0
missing,Non-Binary,missing,Top,Education,Afternoon,1
19.0,missing,Tablet,Side,Shopping,missing,0
missing,missing,Mobile,Side,missing,Evening,0
35.0,Male,Mobile,Bottom,missing,Afternoon,1
50.0,missing,Mobile,Top,Education,missing,0
20.0,Female,missing,Top,Social Media,Afternoon,1
missing,missing,Tablet,Top,missing,Night,1
missing,missing,Desktop,Side,missing,Morning,1
58.0,missing,Tablet,Top,missing,missing,1
25.0,missing,Tablet,Side,missing,Evening,0
missing,missing,missing,Top,Social Media,Night,1
34.0,Non-Binary,Mobile,Bottom,missing,Afternoon,1
missing,Non-Binary,Tablet,Top,missing,Evening,0
27.0,Non-Binary,Tablet,Bottom,missing,Night,1
31.0,missing,Tablet,Side,missing,Afternoon,1
31.0,missing,Tablet,missing,missing,Afternoon,1
missing,Non-Binary,Desktop,Top,missing,Afternoon,1
missing,Female,missing,Bottom,missing,Evening,0
40.0,missing,missing,Top,missing,Night,0
30.0,Male,Mobile,Side,Shopping,Morning,0
missing,Male,missing,Top,missing,missing,0
missing,Female,Tablet,missing,Entertainment,missing,0
31.0,missing,Mobile,Top,News,Evening,1
missing,Male,Mobile,Bottom,missing,Evening,1
30.0,Female,Mobile,missing,Social Media,Morning,1
41.0,Non-Binary,Mobile,Side,Education,Night,1
missing,missing,Desktop,missing,Social Media,Night,1
missing,missing,missing,Bottom,missing,Afternoon,1
43.0,Non-Binary,Mobile,Top,Social Media,Night,1
18.0,Female,Mobile,Bottom,Entertainment,Night,0
missing,Male,Mobile,Side,missing,Afternoon,0
missing,missing,Tablet,Bottom,missing,Night,0
missing,Male,Tablet,missing,missing,Night,0
missing,Male,missing,Top,missing,Evening,1
missing,Female,Mobile,Top,Social Media,Morning,0
missing,Male,missing,Bottom,Education,missing,1
missing,Male,Tablet,Top,News,Evening,1
missing,missing,Mobile,missing,missing,Afternoon,1
44.0,missing,Tablet,missing,Shopping,Morning,1
45.0,missing,Tablet,Top,missing,Afternoon,1
49.0,Female,missing,missing,Shopping,Night,0
missing,Non-Binary,missing,Side,missing,Evening,0
missing,missing,Desktop,Bottom,Shopping,missing,1
54.0,Male,Mobile,missing,missing,Night,1
missing,Non-Binary,Desktop,missing,missing,missing,0
missing,Non-Binary,Tablet,Side,missing,missing,0
19.0,missing,Tablet,Side,missing,Morning,1
27.0,Non-Binary,Desktop,Bottom,missing,Morning,0
64.0,missing,Desktop,missing,missing,Evening,0
missing,missing,Desktop,Top,News,Afternoon,1
missing,Female,Tablet,Side,Entertainment,Afternoon,0
54.0,missing,Mobile,Bottom,missing,Night,1
21.0,Female,Desktop,missing,Social Media,Morning,0
38.0,missing,missing,Bottom,Entertainment,Night,1
missing,missing,Mobile,Bottom,missing,Afternoon,1
missing,Female,missing,Top,missing,Morning,0
42.0,missing,Mobile,Side,Shopping,Morning,1
40.0,missing,Desktop,Side,missing,Morning,1
missing,Female,Desktop,Bottom,missing,Morning,1
missing,missing,Mobile,Bottom,Social Media,missing,1
missing,Non-Binary,Tablet,Top,missing,missing,1
59.0,Male,Desktop,Side,Shopping,Evening,0
62.0,missing,Mobile,Bottom,Education,Night,1
missing,Female,Tablet,Side,Education,Afternoon,0
missing,Non-Binary,Tablet,Side,missing,Afternoon,1
missing,Female,Tablet,Top,missing,Evening,1
35.0,missing,Tablet,Bottom,missing,Night,1
missing,missing,Desktop,Bottom,missing,Evening,1
57.0,Male,Tablet,missing,missing,Afternoon,1
43.0,Male,missing,Side,missing,Night,0
45.0,missing,Tablet,missing,News,Evening,1
missing,missing,Desktop,Bottom,missing,Night,1
missing,Female,missing,Side,missing,missing,1
30.0,Non-Binary,Tablet,Side,missing,Evening,1
28.0,Male,Mobile,missing,missing,Afternoon,1
59.0,Non-Binary,Mobile,Bottom,Education,missing,1
26.0,Non-Binary,missing,Bottom,missing,Evening,0
missing,missing,Desktop,missing,News,Afternoon,0
missing,Non-Binary,Tablet,Side,News,missing,0
40.0,missing,Desktop,Top,Entertainment,Evening,1
missing,missing,Tablet,Top,missing,Morning,1
23.0,missing,Desktop,Top,Shopping,Night,0
36.0,Female,Desktop,Bottom,Shopping,Morning,1
21.0,Non-Binary,missing,Top,News,Evening,0
33.0,Female,missing,missing,missing,missing,0
21.0,missing,Desktop,Side,missing,Morning,0
23.0,Male,Desktop,missing,missing,Night,0
19.0,Non-Binary,Desktop,Top,missing,Morning,1
missing,Female,Tablet,Side,missing,Night,0
missing,missing,missing,Side,missing,Evening,1
48.0,missing,Mobile,Side,News,missing,1
43.0,Male,Tablet,Bottom,missing,Afternoon,1
missing,Female,Tablet,Top,missing,Evening,1
missing,Male,missing,Top,Entertainment,Afternoon,1
38.0,missing,Mobile,Bottom,missing,missing,1
missing,missing,Tablet,missing,missing,missing,1
missing,missing,missing,Bottom,missing,Morning,0
25.0,Female,Tablet,Bottom,missing,Morning,1
23.0,missing,Tablet,missing,Education,Morning,1
43.0,missing,Tablet,Top,Social Media,Afternoon,1
missing,Non-Binary,Desktop,Top,Social Media,Evening,0
missing,missing,Mobile,Bottom,Entertainment,Afternoon,1
34.0,missing,missing,missing,missing,Morning,1
missing,Non-Binary,Tablet,Side,missing,Morning,0
37.0,Male,missing,Bottom,missing,Afternoon,1
34.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0
missing,missing,missing,missing,missing,Evening,0
missing,missing,Desktop,Top,Social Media,Night,1
22.0,missing,Desktop,Bottom,Entertainment,missing,1
60.0,Female,Mobile,Bottom,missing,Evening,0
37.0,missing,Tablet,missing,missing,Evening,0
missing,Female,Desktop,missing,Social Media,missing,1
57.0,Female,missing,Bottom,missing,Evening,0
42.0,missing,Mobile,Side,Shopping,Morning,1
21.0,missing,Mobile,Top,missing,Morning,1
missing,missing,Mobile,Top,missing,Night,0
missing,Female,missing,Top,missing,Night,0
missing,Female,missing,Side,Entertainment,Evening,1
43.0,Male,Mobile,Bottom,missing,Evening,1
43.0,missing,Tablet,Bottom,Education,Afternoon,1
31.0,missing,Desktop,Bottom,Entertainment,Night,1
57.0,missing,Tablet,Top,Education,Afternoon,0
missing,Non-Binary,Desktop,missing,Social Media,Night,1
50.0,Female,Desktop,Bottom,missing,Evening,1
missing,Female,Mobile,missing,News,Morning,0
40.0,Male,missing,Top,Entertainment,Evening,1
30.0,missing,Desktop,Side,missing,Morning,1
missing,missing,missing,Top,missing,Afternoon,1
44.0,Female,Desktop,Top,Entertainment,Evening,1
missing,missing,Tablet,missing,Social Media,Night,1
37.0,Female,Desktop,Top,missing,Evening,1
missing,Non-Binary,Mobile,missing,Social Media,missing,0
missing,Female,missing,Bottom,Entertainment,Evening,1
43.0,missing,Tablet,Top,missing,Evening,0
20.0,Female,Mobile,Top,Social Media,Afternoon,1
29.0,Male,Desktop,Side,Shopping,Afternoon,1
missing,missing,Desktop,Side,missing,Night,1
missing,missing,Desktop,Top,Shopping,Night,1
40.0,Female,missing,missing,missing,Morning,1
missing,Male,missing,Side,Education,Night,0
26.0,Female,Mobile,Top,missing,Afternoon,1
missing,missing,missing,Side,Social Media,Afternoon,1
missing,missing,Desktop,Bottom,Shopping,Morning,1
38.0,Non-Binary,Desktop,Top,Entertainment,Morning,0
missing,missing,Desktop,Side,Education,Evening,1
30.0,Non-Binary,Tablet,Top,News,Morning,1
24.0,Non-Binary,missing,Top,Shopping,Afternoon,0
missing,Non-Binary,Tablet,Bottom,News,Afternoon,0
missing,Non-Binary,Desktop,Top,missing,missing,1
37.0,missing,Desktop,Side,Social Media,Evening,1
23.0,Female,missing,missing,Shopping,Afternoon,0
32.0,missing,Tablet,Side,missing,Morning,1
missing,missing,Desktop,Side,Social Media,Morning,0
missing,Female,Desktop,Bottom,News,Afternoon,0
missing,missing,Tablet,Top,News,Evening,1
38.0,Non-Binary,Tablet,Bottom,Entertainment,missing,1
missing,missing,Desktop,Side,missing,missing,1
26.0,missing,Mobile,Side,missing,Afternoon,1
missing,missing,Mobile,Top,missing,missing,1
46.0,missing,Mobile,Bottom,Social Media,Night,0
52.0,Male,Mobile,Bottom,Shopping,Night,1
56.0,Female,Tablet,missing,Social Media,Afternoon,0
50.0,Female,Tablet,Top,missing,Evening,0
56.0,Non-Binary,missing,Top,missing,Morning,0
21.0,Male,Mobile,missing,Social Media,missing,0
missing,Male,missing,missing,Entertainment,missing,0
46.0,Female,Tablet,Top,Social Media,Morning,0
missing,Female,Mobile,Bottom,missing,missing,1
missing,missing,Tablet,Bottom,missing,Evening,0
55.0,missing,Tablet,Side,missing,Evening,1
missing,Female,missing,Side,Entertainment,missing,1
21.0,Female,missing,missing,missing,missing,0
52.0,Female,Desktop,Bottom,missing,Afternoon,1
missing,missing,Desktop,Bottom,missing,Morning,0
38.0,missing,missing,missing,missing,Morning,0
21.0,missing,missing,Side,Education,missing,0
missing,Female,Mobile,Top,missing,Evening,1
missing,Female,Mobile,Top,Social Media,Afternoon,1
missing,Male,Desktop,Top,missing,Night,1
missing,Male,Tablet,Bottom,missing,Morning,0
41.0,Male,Desktop,Side,Entertainment,Afternoon,1
missing,Female,missing,Top,Entertainment,missing,1
missing,missing,Tablet,Bottom,missing,Night,1
missing,Non-Binary,Tablet,missing,missing,Morning,1
missing,missing,Desktop,Bottom,Social Media,missing,1
missing,Non-Binary,Mobile,Side,missing,Night,0
missing,Male,Desktop,missing,News,Afternoon,1
missing,Non-Binary,Tablet,Side,missing,Morning,1
54.0,missing,Mobile,missing,News,missing,0
64.0,missing,Mobile,Side,missing,Afternoon,1
36.0,Male,Tablet,missing,Shopping,Evening,1
61.0,Male,Desktop,Side,Social Media,Morning,1
53.0,Male,Mobile,Side,Shopping,missing,0
24.0,missing,Mobile,Top,Entertainment,Night,1
52.0,Female,Mobile,Top,Social Media,Afternoon,1
missing,Male,Tablet,Side,missing,Night,0
34.0,Male,missing,Top,missing,Night,1
missing,Male,Tablet,Side,News,Evening,0
58.0,Non-Binary,Mobile,Side,Entertainment,Evening,1
31.0,missing,Desktop,Bottom,Shopping,Evening,1
39.0,missing,Desktop,Bottom,Social Media,missing,0
missing,missing,Mobile,missing,Social Media,Night,0
52.0,Male,missing,Top,missing,Night,1
missing,Female,Desktop,Bottom,missing,Night,0
49.0,missing,missing,missing,missing,Evening,0
39.0,missing,Mobile,missing,missing,Morning,0
missing,missing,Desktop,Side,missing,Morning,1
40.0,missing,Mobile,Side,News,Evening,1
missing,Female,Tablet,Top,Entertainment,missing,1
21.0,Female,Mobile,Side,News,Morning,1
32.0,Male,Mobile,Bottom,missing,Night,1
missing,missing,Tablet,Side,Education,Evening,1
missing,Male,Tablet,Top,News,Afternoon,1
missing,Non-Binary,missing,Bottom,Education,Afternoon,1
missing,missing,Desktop,Bottom,missing,Night,1
missing,missing,Tablet,Bottom,Education,missing,1
missing,Non-Binary,Tablet,Top,Shopping,Night,1
missing,missing,Desktop,Side,missing,Evening,0
45.0,missing,missing,Side,Social Media,Afternoon,0
missing,missing,Desktop,Bottom,Shopping,Evening,0
44.0,Male,Mobile,Top,missing,Night,0
37.0,Female,missing,Bottom,missing,Afternoon,1
missing,missing,Mobile,Side,missing,Morning,1
33.0,missing,Tablet,Side,missing,Morning,1
missing,missing,Mobile,missing,Education,Evening,1
missing,Male,Desktop,Top,Education,Evening,0
63.0,missing,Tablet,Side,Shopping,Afternoon,1
38.0,Female,Mobile,Side,missing,Night,1
26.0,Male,Tablet,Top,Social Media,missing,1
missing,Female,Mobile,Top,Social Media,missing,1
38.0,missing,Mobile,Bottom,Social Media,Morning,1
47.0,missing,missing,Bottom,missing,Evening,0
missing,missing,Desktop,missing,missing,Night,1
34.0,Female,missing,Bottom,Entertainment,Afternoon,1
54.0,Male,Tablet,missing,Education,Evening,1
32.0,Female,Desktop,missing,missing,Night,1
21.0,Non-Binary,Desktop,Top,missing,Evening,1
missing,missing,missing,Top,Education,Afternoon,1
44.0,missing,Desktop,missing,missing,Night,0
missing,Non-Binary,Mobile,Bottom,missing,missing,0
25.0,Male,missing,missing,Education,Morning,0
24.0,Male,Desktop,Bottom,missing,Morning,1
48.0,Non-Binary,Desktop,missing,missing,Night,1
46.0,Male,Tablet,Top,Entertainment,Night,1
39.0,Non-Binary,Desktop,missing,missing,missing,0
missing,missing,Mobile,Side,Social Media,Afternoon,1
51.0,missing,Desktop,Bottom,missing,Evening,0
missing,missing,Tablet,missing,missing,Afternoon,0
missing,Non-Binary,Mobile,Bottom,Shopping,Evening,0
missing,Non-Binary,Tablet,missing,News,Afternoon,0
37.0,Female,Desktop,Top,Entertainment,Evening,1
missing,missing,Mobile,Top,Entertainment,Night,0
missing,missing,Desktop,Side,missing,missing,1
29.0,missing,Desktop,Bottom,missing,missing,1
missing,missing,Desktop,Top,Social Media,Night,0
missing,Non-Binary,Mobile,Side,missing,Morning,1
28.0,Female,Desktop,Bottom,missing,Evening,1
missing,missing,Tablet,missing,Education,Afternoon,1
missing,missing,Desktop,Bottom,Education,Morning,1
missing,missing,missing,Top,missing,missing,1
46.0,Non-Binary,Mobile,Bottom,missing,Night,1
missing,missing,missing,Side,Social Media,Afternoon,1
62.0,Non-Binary,Desktop,missing,News,missing,1
missing,Non-Binary,missing,Top,missing,Evening,1
20.0,Male,Tablet,Side,News,Night,1
missing,Non-Binary,Desktop,Side,missing,Afternoon,0
missing,Male,Mobile,Bottom,News,Night,0
46.0,Male,Desktop,Top,Shopping,Afternoon,0
missing,missing,Mobile,Side,missing,Evening,0
missing,Male,Tablet,Side,News,missing,1
31.0,missing,Tablet,Side,missing,missing,1
64.0,missing,Tablet,Bottom,News,Morning,0
39.0,missing,Mobile,Top,missing,Night,0
44.0,missing,Mobile,missing,Shopping,Afternoon,1
missing,missing,Mobile,Side,Social Media,Afternoon,1
missing,Female,Tablet,Top,Education,Night,0
missing,missing,missing,Bottom,Entertainment,missing,1
37.0,Non-Binary,Mobile,Top,News,Evening,0
missing,Male,Mobile,missing,missing,Morning,0
62.0,Female,Desktop,Bottom,Entertainment,Morning,1
missing,Non-Binary,missing,missing,missing,Morning,1
51.0,Male,Desktop,Side,missing,Afternoon,0
30.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
50.0,Female,Desktop,Bottom,missing,missing,1
missing,Non-Binary,Tablet,Top,Entertainment,Morning,1
25.0,missing,Mobile,Bottom,missing,Afternoon,1
missing,missing,Desktop,Side,Entertainment,Evening,0
21.0,missing,Tablet,Bottom,missing,Afternoon,1
29.0,Male,missing,Side,missing,Afternoon,1
41.0,Male,Mobile,missing,Social Media,Night,1
39.0,missing,Desktop,Top,missing,Evening,0
missing,Non-Binary,missing,Bottom,missing,Afternoon,0
55.0,missing,Desktop,Side,missing,Evening,1
missing,Non-Binary,missing,Top,Social Media,missing,0
missing,Female,Desktop,Bottom,Shopping,Morning,1
37.0,Female,Desktop,Side,News,Evening,0
42.0,Male,Tablet,Top,Entertainment,Morning,0
missing,missing,Mobile,Bottom,News,Afternoon,1
32.0,Non-Binary,Desktop,Top,missing,Night,1
missing,missing,Tablet,Top,missing,missing,0
40.0,missing,Tablet,Bottom,missing,Morning,1
missing,Non-Binary,Tablet,Bottom,missing,Evening,1
43.0,missing,Desktop,Top,missing,Night,1
52.0,missing,missing,Bottom,Education,Morning,1
missing,Female,Mobile,missing,missing,Evening,1
missing,Non-Binary,Mobile,Bottom,missing,Night,0
62.0,Male,missing,Side,News,Night,0
missing,Male,missing,missing,Shopping,missing,1
missing,Female,Tablet,Side,Education,missing,1
missing,Female,Tablet,Side,missing,missing,1
63.0,missing,Tablet,Side,missing,Afternoon,1
28.0,missing,Mobile,Side,missing,missing,0
missing,missing,Tablet,missing,missing,Night,1
missing,Non-Binary,Desktop,Side,Shopping,Afternoon,0
missing,missing,Desktop,Bottom,Education,Night,0
missing,missing,Desktop,missing,missing,Morning,0
31.0,missing,Mobile,Top,News,Evening,1
20.0,Female,missing,Top,missing,Afternoon,1
missing,Female,Desktop,Top,missing,Morning,1
missing,Non-Binary,Desktop,Side,missing,Morning,1
missing,missing,Tablet,Bottom,Social Media,Afternoon,1
missing,Male,missing,Top,Shopping,Morning,1
missing,Male,Desktop,missing,News,Morning,1
46.0,missing,Mobile,Top,Social Media,Evening,1
missing,Non-Binary,missing,Side,Shopping,Evening,1
missing,Male,Tablet,Side,Shopping,Morning,0
missing,missing,Mobile,Top,missing,missing,0
missing,Female,Desktop,missing,missing,Night,1
33.0,Female,missing,missing,missing,missing,1
51.0,missing,Tablet,Top,Shopping,Afternoon,1
39.0,Non-Binary,Tablet,Top,missing,missing,0
missing,missing,Mobile,Side,missing,missing,0
missing,missing,Desktop,Bottom,Entertainment,Afternoon,1
36.0,missing,Desktop,Bottom,missing,Morning,1
47.0,Male,Desktop,Bottom,Education,Night,1
missing,missing,Desktop,Bottom,Entertainment,Morning,0
31.0,Male,Desktop,Bottom,missing,Night,1
55.0,missing,Tablet,Side,missing,Evening,1
24.0,missing,Mobile,Side,Entertainment,Night,1
50.0,Female,Mobile,Bottom,missing,Night,0
missing,missing,Tablet,Top,Social Media,Night,1
42.0,Male,Tablet,Bottom,missing,Night,1
54.0,Female,Tablet,Top,News,Evening,1
missing,Female,missing,Top,Education,Afternoon,0
50.0,Female,Desktop,Bottom,missing,missing,1
26.0,Non-Binary,Desktop,Side,missing,missing,1
30.0,Female,Desktop,Bottom,missing,Afternoon,1
41.0,missing,Desktop,Bottom,missing,Afternoon,1
missing,Male,Mobile,missing,Education,Afternoon,0
missing,missing,Mobile,Side,Entertainment,Afternoon,1
41.0,Male,Desktop,Side,missing,missing,1
missing,Male,Tablet,Side,missing,Night,1
34.0,Male,Desktop,missing,Entertainment,Evening,1
35.0,Non-Binary,Mobile,Side,missing,Afternoon,0
41.0,Non-Binary,missing,Side,Education,Night,1
missing,Non-Binary,Mobile,Bottom,missing,missing,0
33.0,missing,Mobile,missing,News,missing,1
missing,missing,Mobile,Side,Entertainment,Afternoon,1
missing,Female,missing,Top,missing,Evening,0
48.0,missing,Mobile,Side,News,Night,1
36.0,Female,Desktop,Bottom,Shopping,missing,1
missing,missing,Mobile,Top,Social Media,Night,1
49.0,Male,Desktop,Top,News,Afternoon,1
missing,Non-Binary,Tablet,Side,missing,missing,1
57.0,Male,Tablet,Side,missing,Afternoon,1
57.0,missing,Mobile,Side,Social Media,missing,1
64.0,Male,Tablet,Top,Entertainment,Morning,0
33.0,Female,Tablet,Top,missing,Night,1
missing,Non-Binary,Mobile,Bottom,Social Media,Evening,1
missing,Non-Binary,Desktop,Top,missing,Afternoon,0
61.0,Female,Tablet,Bottom,Shopping,missing,1
53.0,missing,Desktop,Side,missing,Morning,1
missing,missing,Tablet,Side,missing,Night,0
58.0,Non-Binary,missing,Top,Education,Afternoon,1
missing,Male,Tablet,Bottom,Education,missing,0
missing,missing,Desktop,Bottom,Shopping,Morning,0
52.0,missing,Desktop,Bottom,Education,Night,0
42.0,missing,missing,Side,Social Media,Morning,0
62.0,missing,Desktop,Side,Education,Morning,1
25.0,Male,Mobile,missing,Shopping,Evening,0
missing,missing,Tablet,missing,missing,Night,0
missing,missing,missing,Top,missing,Afternoon,0
45.0,Female,Mobile,Side,Social Media,missing,1
61.0,missing,Desktop,Bottom,Entertainment,missing,1
30.0,Male,Tablet,missing,missing,Evening,1
missing,missing,Desktop,Side,missing,Afternoon,1
missing,Non-Binary,missing,Top,Social Media,Evening,1
37.0,Female,Desktop,Side,Entertainment,Afternoon,0
missing,Female,Desktop,Side,missing,Evening,1
missing,Female,Desktop,Bottom,Entertainment,missing,1
36.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
19.0,Male,Desktop,Bottom,missing,Afternoon,1
missing,Female,Tablet,Top,Education,Night,1
missing,Non-Binary,Mobile,Bottom,missing,Night,0
missing,Male,Tablet,Top,News,Evening,1
52.0,missing,missing,Bottom,Shopping,missing,1
62.0,missing,Mobile,Bottom,Education,Night,1
missing,missing,missing,missing,missing,Morning,0
43.0,Non-Binary,Mobile,Top,Shopping,Afternoon,1
36.0,Male,missing,missing,Shopping,Morning,1
missing,Male,Desktop,Top,missing,Night,1
25.0,Female,Mobile,Bottom,Social Media,Evening,1
54.0,missing,Mobile,Bottom,missing,missing,1
57.0,Female,Tablet,Top,News,missing,0
55.0,missing,Mobile,Side,missing,Morning,0
40.0,Female,Desktop,Side,missing,Morning,1
missing,missing,Tablet,Side,Entertainment,Evening,1
missing,Non-Binary,Mobile,Bottom,Entertainment,missing,1
missing,Male,missing,Bottom,Shopping,Evening,1
19.0,missing,Mobile,Bottom,missing,missing,0
35.0,Non-Binary,Tablet,missing,missing,Night,1
missing,Male,Mobile,missing,missing,Afternoon,1
24.0,Male,Mobile,Bottom,missing,Night,1
61.0,Male,Tablet,Side,missing,Night,0
missing,Male,missing,Bottom,missing,Night,1
missing,Female,Desktop,missing,Shopping,Afternoon,1
missing,missing,Desktop,missing,Education,Night,1
missing,Female,missing,Top,Social Media,missing,0
missing,Female,Desktop,Side,missing,Night,1
missing,Female,Tablet,Side,Shopping,Night,0
missing,Female,Mobile,Top,News,Afternoon,1
